id,termfrom,termto
dec68190-6608-4d4c-919e-f5f655eb1466,3,1
ce5fa742-b68f-423b-8a52-366c975ec337,3,1
7335e260-baed-4e1e-b966-3fbed480693b,3,1
7ce56b96-fcf9-4e49-96ae-70dfe05690f5,3,1
aa6b104c-b8a0-4866-928a-ee7769dd9c99,2,1
6702478a-ce72-40bb-b026-64cfc27b9558,3,1
m7fdv4p96258dens92hrats8md9fhrihe6n3q0o1,3,1
4b31f9c7-0f54-472b-bcbb-dbfd73f88037,2,1
f0c7e5df-f7b7-4407-ad63-2b15179f9863,2,1
b098cd6c-44c2-4ac1-9d3c-71fd55a7c648,2,1
c78d53f2-0557-44c6-9783-ef17563d7db2,3,1
5b8815ee-136e-446b-9661-32d8155f4856,3,1
oqdj8cncklojm8crl27h3nl1rovpag911un3q0o1,3,1
4iqjd8oan77jq857qn4c7vi3pcl81krgh0bo9eg1,3,1
c13b7cc7-fc0d-4c15-8361-99655440e467,2,1
e03dd4e9-886d-4f36-b2c6-8ffbcf6ffb8e,2,1
22211154-75b3-44af-829f-f702c0fd869c,2,1
df2ebd94-c9c7-4718-b9b1-289086ebafaa,2,1
480392e8-c82f-43f2-b068-fd2fd77f3f43,2,1
de25b60e-919e-45e2-93e6-06505493ebf7,3,1
d962b8bd-b07d-4b91-a7d2-9599fefcac1b,3,1
5eeb4b77-bed0-4f65-93c0-a28224179149,3,1
28ed6ef7-9ba7-4bde-afc9-86d5c6330365,3,1
p3jgkv1cnnunna2guthbj6bvj5sd5h3r2tkfnh81,3,1
8nvkcg1llajvjthgdfa5hoo7tg6qc1o0ievio4g1,3,1
c4aprb6v27d9qk607gpldk8t3vv5bssuf271q8o1,3,1
68dfd250-6153-4421-bfd5-27ca3b950331,2,1
561a52d9-aa25-4344-8d42-c392d3314e88,2,1
8361a920-2c03-43de-9ac5-fa638835e4d8,5,1
ff21d7aa-f166-4798-9246-ef3ef954a2c2,5,1
94606459-3185-4aa6-87c7-79bcb2c3dc9b,5,1
7d2a22bb-23ed-4f95-ad5a-d47a9f1d29a9,5,1
0ff54f56-385b-4a0c-b6b2-6066cfda17c3,5,1
2f8ea901-f8f3-40d7-abec-220fec6ba5d3,5,1
cada37c3-44c0-42cc-a89f-4fb319fdef20,5,1
ea72adff-ee06-4400-a03c-d244a78be62e,5,1
e17b6a8b-9b5c-41ca-aa27-fa9226147782,5,1
b71f280d-10cf-4b95-b3cf-7625378c2afb,5,1
4df53894-7c58-45be-81c0-7208c276fd8e,5,1
da38225c-b570-45a5-aaa2-f7b127e9239d,5,1
613cc891-960d-4c8c-886b-1cdd736625b8,5,1
5e2f9cce-fad0-4c79-afdb-6b21975791a1,5,1
cee22121-3b6d-4069-8e0e-fe4bc9378182,5,1
0dd8118b-ca39-45b4-9da4-2744c9e3df43,5,1
6a5d2f70-cd25-404e-853f-d1d389ac14e3,5,1
0645ee87-3b1e-4b33-aad3-ffda4c771d05,5,1
309ppul7k0eou7pao708lnmmamq1tk7nt3fkosg1,5,1
s8j8golv2ti7vjgepqu6e65nponobi55302pda01,5,1
quijlc6r2rgde24a073cgamgponobi54uid0ido1,5,1
o9ctp12k6hppa1kpf59flev5pgmocdtvntgf7j81,5,1
s3h8c4jui064itj2udi49hitdm62f0fc5n9k0vg1,5,1
9a071897-fb59-4d76-a2db-22eb6442e3b4,2,1
25a5f232-9457-48b5-b041-d5f205e8da55,2,1
7b0fc4fc-2cd4-44e1-b6c5-fd439791fd8c,2,1
efd329ff-9985-4bfd-a15a-6680b0fa988f,3,1
74c12d59-7d99-4f26-bf55-8c15c4874159,3,1
sgcm3v8ebgklo324rb7j4bsaamq1t2frsbf4qso13,1
7q1422f3djtkn51jim3ij9bs1jmkekfdkc8o5f01,3,1
7pdqcpifr3fl6989ngcoahd3v4cb590rd2dggdg1,3,1
mfc1dt7qud2trkakhvvs7hvo0rjkpgrvutccnt81,3,1
176af62d-3c07-4f12-b63b-a941500376b3,2,1
d0ff61fa-f7d1-48c6-81fc-b7926f62ad98,2,1
4ca859f6-5129-4841-8ae2-c9d672c2c3ca,2,1
705d8d2f-d19e-496e-a0bb-aaeb2d263ddb,2,1
6884f5d4-4fd1-4e4d-a382-9d611146bb87,3,1
8b70788e-ee62-4785-8a85-a0e1087127cc,3,1
if6mm51smaktfqv53dsl3e44ee93halv8ldshtg1,3,1
8fsdteilk68uoebdjvj7p75msk2atfvecttejlo1,3,1
kvqksg81ptveg04chfc1g6olqgqpv3mvn70l4r01,3,1
n80lt0lvpnl2diau02afimg4qcp9j403fk2pda01,3,2
948sqtkk25c7ngc5g79fs5ch7rfn9vlc2dqudm01,3,1
064f93f2-0bb2-4da0-b138-178b5c254770,2,2
55890c03-7f62-4c5c-b8b8-2bf02f29e6ab,2,2
aa731a24-6c97-4f5b-bec9-139645f93dac,2,1
baf784b0-f642-478e-8e6e-13125dbcd91d,2,1
372da5cd-468a-4cf3-86f0-d279df8b945e,2,1
aa74a00f-6c79-4f1a-bb0a-b5f37d3f2a50,3,1
16192dc8-9582-4aa4-9b1e-ffe5ef139298,3,1
8ff2a3eb-eb8a-4b21-a5b7-cf12459db65f,3,1
0g4ov3vb4ql5vp9bntjqo2d3j1st7gkigkrq96g1,3,1
dc32k7415j6vtg9rqbh8be1rbqvh9tt4ejhn0jg1,3,1
af5cd1dd-a88d-41a6-a22f-f61da7821828,2,1
f00cb01b-cbff-43eb-bd31-9fe6686fec78,2,1
e4923f73-5c0f-4610-9245-ec4ff256f46d,2,1
f89fadd6-ce8f-47b6-af3e-0b496d2fedd7,2,1
b8be33c1-85e9-4b81-80f6-4a14b1f52871,2,1
0406043b-cb2f-4628-9516-3e84c6078cbf,4,1
a3kfit6kls6ll6qo0d3f3cd66787nf77fh9s1vg1,4,1
cs3qv8553ekoign9bivdmp6hcq3io32bcff4qso1,4,1
52356b79-a225-4a39-8d4c-be016abb565e,2,1
c139a0fa-2e11-4b2a-aca3-6067270d5746,2,1
d4b0c483-4785-4f3e-af50-51ac32fdf4fc,2,1
b2116680-e91b-43aa-8a0d-bb2190f269cf,2,1
e25aaf55-67fc-4dc3-8f9c-9e262519067c,2,1
d0b5a8fa-cbb5-4eed-8d80-630ddd71a4a6,3,1
ad773c36-dc31-40dd-9fa8-b1d19718d16b,3,1
u9c90amibunl55q2g8k4qf21r0sp64lhutou5n01,3,1
iegajsi7s9cdj1dbt2q3kg43sc1ahuqp91acfu81,3,1
9244d0d2-3d20-49f2-9e42-153857a64a95,2,1
5f32a56a-d10b-48ff-ba5f-36af920f0b92,2,1
82aa0e68-3e9f-4854-bffa-d2568fa2b518,2,1
92c81172-1acf-45cc-8de3-bf934881c7ef,2,1
15905366-eda1-41d5-986e-9a5fba384d47,3,2
dfdd055a-ea0c-495e-9b33-6cab90a1f884,3,2
8b263518-035b-4118-a6d6-b7d9c3c70465,3,2
dc154e5c-dfee-49ee-8a07-201e61421e0f,3,1
sv33kcio1ok87bq8dgjaof9en9dv2ukjnfckkt01,3,1
ob5ok2tblhohd17b7muur04t8eh0glc7b77loog1,3,1
o955k31v3aifk446j8l0ebjqsc1ai7udum7ho8g1,3,2
02481e5d-ec26-403b-8d26-da1eb36daf98,2,1
fb2f7d42-97e4-4822-b3a4-0d16e3659fb6,2,1
86afe6fa-bce2-4ae4-a103-8fb3029152e0,2,1
985367bb-5606-4ba3-9186-d50fb49a14ef,3,1
5db442a0-fd0a-49fd-a0e6-0cea7adb1775,3,1
c4e0c1e4-fcdc-412b-9d62-2e2e9c37704f,3,1
389cb4be-9c90-4f58-ad39-fdfe2f5a2fd8,2,1
1c6575e3-8592-4484-ac3d-48dc5340bf1c,2,1
4aa90130-6e6b-4160-8cd4-ee361c95c648,2,1
f2a2bf11-4fdf-41c1-ab68-d1a595513631,3,2
658c67d0-6cb1-4801-8f1c-d3a78c53725c,3,2
554bc0a2-4cfc-461f-bea8-7ce2596ae722,3,1
ce2fb05c-74d9-4d91-8118-a7bdc473965e,3,1
d15b6915-3f2e-411a-b5a7-5accf5fa05fa,3,1
85dc3d66-56cb-4ae0-af25-7a9bdbbfb221,3,1
f366422e-a2cd-4b4a-b219-b3a07851f3c0,2,1
4c8b14fc-919a-42aa-b75c-e4cfc139372b,2,1
cd9a6c03-efe9-4522-9a65-f9b77a9654f3,3,2
1224cea2-92b7-4b12-9234-e1a4ed2e04cd,3,2
1d8b8063-b20e-4385-be29-fa7363b3956e,3,2
9bb3b097-1169-4c5a-ace9-edf55a608b56,3,2
1d6fda91-b1fc-499e-91f9-74c252292637,3,2
aead13e6-7904-4879-9e6e-f0c83c01f8f7,3,2
163dda14-a54a-44e8-9b53-e67aaaf5bd2e,3,2
068be469-9333-476e-8e2a-cc3bfe4c652a,3,2
cdb21316-2beb-4a36-9a98-7f0884740258,3,1
5c03dcec-2259-47af-bf55-f0cfed9c07be,3,1
c7c1fb8f-b5eb-41e0-bbdf-e93b61c3b54f,3,1
ef7bc46e-5cb4-4d53-8fb3-7db2bfb7552a,3,1
a239e1fa-8b8e-4e9f-8bda-1a4daf326b35,3,1
35e2a69b-137b-4d46-9568-47b0d98ca620,3,1
20603798-89b8-440f-b71c-e82add665238,3,1
f762fbf0-43dd-4287-bd0c-2e72ce38e9e1,3,1
290b5f73-3ae2-4ee6-8cad-5e0fb58a40d4,3,1
32894ca6-4d65-400f-8f78-ee0b7ecebabd,3,1
8dd7641b-ca34-496a-92d2-5cd4b3e80025,3,1
f3a93890-b27e-462c-954d-809bfbf47bb2,3,1
tnm7v9ocud6kbbdretkcf42skd1eg6342c4pl901,3,1
ojrt6c5pn1nud3i1kji9pudg5r7mbrhqemri86g1,3,1
vkldd2sjtasquil5kdson347r4s96e3gqltejlo1,3,1
gssgsr1mkfnugjgkngedm3fo4b1mhl77co4pl901,3,2
72f37afd-9cb5-4532-8cc7-771760441a96,2,1
e17221cd-0fef-489f-82a1-fef31439a5ad,2,1
82edc9ab-76e3-4059-8df7-0280612bd549,3,1
ce8848c0-0495-4d15-b590-5e8c3deb7dc6,3,1
tp50sl1ul6krg5o8cbp59ubgr4s941bm76ri86g1,3,1
tk8e1qrbiv0h71snpj2urv3pfuf388ktkjk7mh81,3,1
38dfb98a-fb23-4987-9062-1d5fa57fda24,2,1
51e4bf46-61ee-49da-baff-849ef41bcc56,2,1
d87f300c-6392-486b-92e6-fc53efc72fa2,2,1
f1f5204d-0025-4def-8a2b-f216862cbf04,3,2
c3ff49a1-8e1b-4d14-b49c-424fd8a6a81e,3,2
20d2b132-3398-4feb-8333-3109de82f08b,3,2
ad6c3093-7f7d-4bbd-9224-2a281773ffbd,3,1
98fbe119-9342-4735-93cf-3986dbc1afd3,2,1
fe32aa63-9b88-4ae9-81b2-f3efc0b8f6cf,2,1
c088401c-7429-4c1f-917e-2b39f44f3fdb,3,2
d61cdade-1daa-4ed4-9184-5101a8d0c126,3,2
aa712277-b5d1-4843-a4bf-df3523529bb2,3,1
f676e108-e031-4fe3-b9f2-fb4dc7fd32ac,3,1
d570df3f-adfe-4649-9908-7cee2bd1f6e8,3,1
56bc858c-15a1-4bb7-b1ab-b13b2aa893da,2,1
f96758f5-6f05-4579-b591-ccafb0b22ce5,2,1
fdbb03d9-e34a-4283-a7ca-d059b43613c9,4,1
23625772-6788-4166-937c-122355a3b049,4,1
54523baf-c80e-4eb6-a1d2-5a4b2ff23f96,4,1
bf74ce77-5210-4025-addb-19a31c5b88b7,4,1
2cf0d178-0729-4ea7-9515-e9224d161d93,4,1
41odg4bp3jlh85taubr43jvuaur1pr4g5nakcu01,4,1
7mpvje45lrmjo01tmnetlhqk534m7q02hbe4us81,4,1
61968d33-85a2-42c4-a504-07d66e11eaf0,2,1
9dae5692-9098-4da5-9aac-d809bdb4c7d1,2,1
7f941f72-c4a1-4c31-b3ac-aacbee7c07ce,3,2
c73584b9-73e4-44ee-b49f-930b0af4b231,3,2
70ffdf0f-55fc-4166-9ac2-06bd703b532a,3,2
95e9e76d-e6f5-49ea-b48f-a141d957d757,3,1
e982de52-975d-4fe7-b5bd-e741911dd507,3,1
ed56adee-5a12-4d10-a79c-7f8abdbd2e68,3,1
fvo3gbqudhrb9nhntr8hmtnpc20in1q9rn1l0rg1,3,1
ch5m4a6un4f005ku0rmphhg3v8dr37cm8e51i9o1,3,1
mnkib858bi59nadj1foaislb2jqlt1livfr6amo1,3,2
nc4rhu7kdpucet4mh3qs6edvl14u4pre5uc0md81,3,1
608pjjqn4ln3iu8gd4hpof29sk2au7km24e8vc81,3,1
dc0166e3-ca6e-4a7c-b084-a956f23a790,2,1
643b95a6-ee4a-4145-be33-ed13750b5bec,2,1
aab891aa-d868-4507-b0d3-33ea2eb747fe,2,1
453f006e-fda2-44bc-a5ae-643219e84749,3,1
5756a367-f8bf-4424-bc09-7429e605a385,3,1
ng49b4sdjb89lncj60lml8dmbiuhf5hlfcoa7781,3,1
sujv25k0bbbapmp3ophvpona3rvlaldkhsjr92g1,3,1
gi7n3idkqktpi3sjssrebbm01jmkd9fnsvi7ei81,3,1
Hiil5gg28v16bne9agi0l71rfuf3akl8gkjbb2o1,3,2
ea83b48e-223e-422d-b230-81f7295ab7df,2,1
b98e105a-fcc2-408f-b9bf-8dcf0a093292,2,1
e24dff42-e567-4f05-8a0a-4ad37f2fe1e0,2,1
7da80580-601f-47ed-95b3-463dd14ad4f8,3,2
96d76e99-4f85-4f7a-a8ee-54c96c3cffa3,3,1
075d88e0-7771-4168-8f69-6f3bff6f64ce,3,1
b1fe15f6-964a-449a-bfd8-f8b3d8cea82d,3,1
0ed0a9ab-e310-4290-9fee-333f58f166a2,3,1
8fdefqtt0ds8nm6e80cisfka96k05u2k2ut2i5o1,3,1
897d4tq9e9f5daohv7q6aba5qgqppqnic4pa37o1,3,1
qho4ktprscrvv7qi1e8v5h16bet13gp147lnghg1,3,2
bbb3641f-746f-4fad-81a7-ecda655509bf,2,1
5f21129b-9222-4d3e-ac65-83f40b07bd59,2,1
2d3c22e7-30e6-4350-af6d-1ce98d0f5635,4,2
faee19b1-47e7-41ec-9f10-f48e5736cbba,4,2
fe32dab3-3b29-42b4-babb-1aee825079ef,4,2
68a121c8-a838-4206-94b7-3a63539ea676,4,2
04c3afc0-ac34-42e6-a8e8-0b058be2ade5,4,1
8827762d-c4d9-4c1c-b088-01200b521f50,4,1
c1c52001-b243-4094-99d0-873228f9e60d,4,1
3f41fde4-5f97-4dcc-9f56-c445a3928c83,4,1
014a5030-378d-4232-85bc-46943902fcee,4,1
uo9630u7d53peb139vc2fki4cm22tl3o2j4lkp01,4,1
hchubd9if4m0umu9vet4efurhpnsdc5869mfvg81,4,1
6erke2gavs17i4cebk25fu37d6427s8j32sik501,4,2
25e6c2f5-c65b-40c9-aa22-f94179c4a1fb,2,1
fa592a4d-51fe-4814-b8ef-06f8fb10de23,2,1
7e00c23c-f949-49e2-8cdc-54bd3b299546,4,1
5002dcbb-dd3c-49db-8513-3ba9968bda2e,4,1
000fc956-6c2e-4d9c-82b4-ded484c4dfb4,4,1
2ef3b7ca-ba13-40a7-9fa8-aa0d21c2f35c,4,1
057db455-486b-4818-a126-0d4868c12187,4,1
78d1ed51-01b9-4533-97e4-0516185766aa,4,1
5f039c22-d376-4b33-b712-dbc01bb9cb46,4,1
a987454f-8013-4afa-a7fa-95e0741207d2,4,1
4a77be8d-d65c-4485-9e76-5939d1633b70,4,1
40a9d9a4-4b05-4265-b354-227e39e27938,4,1
fbe35d05-8d7a-4168-81cd-0a56ce5cf576,4,1
3333e74f-5ce3-431f-b075-42a1651af10c,4,1
0a0f6047-f5d5-45d6-98b7-c85ab3ddb31d,4,1
4f5bf441-7411-426a-b426-36d00b064873,4,1
e3b05e80-1e6b-4127-bec6-16e7bafaf294,4,1
7df69314-cda2-46f0-9c0a-df47179fe889,4,1
9866bd89-6988-4600-84f1-cbe1cc0c23f8,4,1
40129126-cd09-4c20-aaca-9582da33a215,4,1
2f6ce8e9-d27b-4c95-a6f5-308edac6d239,4,1
bdd321a6-f6a6-4d77-a464-b14030b5f101,4,1
24f34bd4-e494-4001-b223-9bc8c3cf36d6,4,1
1la9mh72mcha7q537hreg4tcjtvd9nuamoaode01,4,1
041n9rcfo83d96i17s9090f3ci2itqdibosan581,4,1
6nnvru68ajdu8dkc7guh4hhrt04q50mppqd0ido1,4,1
qc2vppm7r7gdghituflrh3083btl0qoncj942vo1,4,1
7fd8fea5-479c-484c-a105-5ebcda9433f4,2,1
7ab8d2df-87b7-4d04-b345-27a3a336f6a4,2,1
3129ee49-013d-415c-bb19-9f6e89ad2ced,2,1
4d6ddfff-b55d-4bc4-8e49-922ed625cf1e,2,1
1b5695fa-11bc-4de0-bce4-db0ac34182a1,2,1
19da0140-ecd6-447c-a2ff-1f12b43a05ad,2,1
1ba4e6e4-40b9-46d4-b61f-b5d1b8ba9d7d,2,1
4a407902-64f1-4afa-b103-3466019b698e,2,1
17d63c01-04e1-433c-9d59-954a354e73da,2,1
9dabc948-63b1-4550-9c83-b7a5d3fa466f,2,1
f6ae1309-7946-4571-bf38-eaaafc0c3cce,2,1
8473bd0e-a163-4e67-b84f-a3a7b17fbc88,2,1
55cd7a30-b4a3-4d38-b44f-f5bcd7922ae0,3,1
a12c794f-c5ea-4307-baa4-52e289efd1f5,3,1
085bdfec-8391-4926-89ed-cec970512fed,3,1
843082ee-e712-4b4a-8946-55fd8b0999fc,3,1
7b71618b-7d0c-486f-bbf8-e36b1e8d9341,3,1
d678ff82-157f-41e5-8d08-549b25d998cd,3,1
76v3r5bbksnhhn3klvh9u6im2fp5hf391hkfnh81,3,1
fmjlfsojnqg802djait1nutn4f16g30ukan3q0o1,3,1
v3g8t3uhb4o5nbvod53rsr9rogiovs9s00lbj1o1,3,1
74bf8r06j1gvsofoqbg38c99qgqpvpga773l8qg1,3,1
577c4775-5fed-42ff-9597-30fa2d933b44,2,1
534a343d-6350-4640-b5b5-caecd20ed997,2,1
8d49ccd1-0686-411d-8935-4204c5a70c7f,2,1
2bbcb69f-b74b-4708-8eba-7596bbc7c223,2,1
47a1747d-eb8f-42bb-8616-eab09a18cd33,2,1
dac30e4b-6c4d-4f6d-a3c8-93c79d8fa648,2,1
419bdc5f-9261-4411-a22c-37eaf7223406,3,2
9212bd21-9ca4-4e8f-9417-4b716ed43f9c,3,2
b5164a46-6fe3-4cea-8705-264e1143237c,3,2
a126ba1e-4b25-4c44-8e8e-a0145fa5f103,3,1
c485547d-08be-4f08-974c-f90abcad62fc,3,1
09981784-ac63-4de5-ae6e-e6e617079df1,3,1
c823a8e3-ac2e-4fa9-82a6-bec1af4d0429,2,1
894f0906-8177-4025-9903-51b12f2689d,2,1
34a03a31-447e-41bb-b4de-c533b449ae73,3,2
fe306bd1-71e0-47cd-8de5-14c5cc876261,3,2
b3a21df2-b864-4ba6-9aba-1e1d23c4bf54,3,2
1fe6eecb-1eaf-4ec0-a784-b6e74fcc32b7,3,1
7fb44ec1-06c0-453b-966a-2158045c933e,3,1
c5c3123f-2aad-4c14-aa25-bdc7c9474487,2,1
74f247d5-d083-4c66-b3d6-4380d3bf9f32,2,1
297b132d-ac4d-4ee8-a75a-58df73aeb13a,3,1
dd30674c-6157-418a-b298-7eff35a3dad0,3,1
f33e4437-a3a3-41ea-9d42-690356165d32,3,1
f10785f5-075c-4c48-a17d-287a47705068,3,1
fdf74169-212a-4309-85e2-2ef94b32775b,3,1
f129e21f-67f2-4c95-8e37-57167519aa81,3,1
704eecd3-cea1-488f-bf62-40a383af52f3,3,1
4f1f579a-a1f3-41e3-bf2f-f80d976146fc,3,1
1a00d9a1-1b77-4a7e-99ac-ee79a162c9ed,3,1
a649382d-23f6-468a-9a08-0694151ef246,3,1
ca4009db-ca20-4f25-947e-0380e8c62e00,3,1
2593f73f-12ff-4868-8c12-299f8d53588c,3,1
e76a7d47-d2e5-4cb3-ac8f-f6fcdfa95c84,3,1
g9d9cr5e5cga7k1ngvk2racuhhmsecj8dd7droo1,3,1
